unit_id,original_error_id,source_id,source_image,source_set,topic_type,original_text,error_type,problem_description,recoverable_meaning,possible_future_use,selection_status,notes,gpt4omini_revision,deepseekv3_revision,geminiflash_revision,bertscore_gpt_deepseek,bertscore_gpt_gemini,bertscore_deepseek_gemini,semantic_homogenization_bertscore,jaccard_gpt_deepseek,jaccard_gpt_gemini,jaccard_deepseek_gemini,lexical_homogenization_jaccard,exact_same_all_three
U001,S01-E01,S01,1.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,The number of Internet users in Greece increases steadily during 1998 to 2013.,grammar-related error,Tense and time-preposition problems in Task 1 trend description; 'increases' should match the past period and 'during ... to ...' is non-standard.,The number of Internet users in Greece increased steadily from 1998 to 2013.,,selected_100,Clear sentence-level error unit; suitable for LLM revision comparison.,The number of Internet users in Greece increased steadily from 1998 to 2013.,The number of Internet users in Greece increased steadily from 1998 to 2013.,The number of Internet users in Greece increased steadily from 1998 to 201,1.0,0.88906157,0.8890619,0.9260411,1.0,0.8571428571428571,0.8571428571428571,0.9047619047619048,False
U002,S01-E02,S01,1.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Still the three different countries all surge throughout and on the peak in the 2013, the figure of Greece's Internet users is on the lowest trend on about 60 thousands during these three countries.",data description error,"Multiple problems in data description, comparison, article use, number expression, and non-standard phrases such as 'on the peak', 'on the lowest trend', and '60 thousands'.","All three countries increased over the period, while Greece had the lowest figure, at about 60 thousand in 2013.",,selected_100,Rich error unit; may be used as a short passage because the intended meaning is still partly recoverable.,"In 2013, all three countries experienced growth, but Greece had the lowest number of Internet users, with around 60,000.","However, all three countries show an overall surge, peaking in 2013. Among them, Greece has the lowest number of internet users, at around 60 thousand.","In 2013, among the three countries, Greece had the lowest number of",0.68340546,0.52649736,0.42611322,0.5453387,0.45161290322580644,0.47619047619047616,0.38461538461538464,0.43747292134388904,False
U003,S02-E01,S02,2.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,Here's the main features and the differences of the chat.,grammar-related error,Subject-verb agreement problem in 'Here's the main features' and spelling error 'chat' for 'chart'; the overview phrase is also vague for IELTS Task 1.,Here are the main features and differences shown in the chart.,,selected_100,Candidate from Image 2; useful as a concise overview-sentence error unit.,Here are the main features and differences of the chat.,Here are the main features and differences of the chat.,Here are the main features and differences of the chat.,1.0000007,1.0000007,1.0000007,1.0000007,1.0,1.0,1.0,1.0,True
U004,S02-E02,S02,2.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"In 1998, users in Denmark and Canada were more than the users in Greece, which reached to about 25 in thousands.",comparison-related error,"Comparison structure, relative-clause reference, verb pattern 'reached to', and number expression 'in thousands' are problematic.","In 1998, Denmark and Canada had more internet users than Greece, with the figure reaching about 25 thousand.",,selected_100,Strong candidate because it involves Task 1 comparison and data description.,"In 1998, the number of users in Denmark and Canada was higher than in Greece, which had about 25,000 users.","In 1998, the number of users in Denmark and Canada was higher than in Greece, which reached about 25,000.","In 1998, the number of users in Denmark and Canada combined was greater than",0.9320944,0.58492064,0.5623278,0.6931143,0.8947368421052632,0.55,0.55,0.6649122807017543,False
U005,S03-E01,S03,3.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"By 2003, the world average reached 20, country A surged to approximately 50, becoming the highest.",data description error,Comma splice and ambiguous data description; “becoming the highest” should refer to the figure for country A rather than the country itself.,"By 2003, the world average reached 20, while country A surged to approximately 50, becoming the highest figure.",,selected_100,Good candidate for data description and sentence-structure revision.,"By 2003, the world average reached 20, while country A surged to approximately 50, becoming the highest.","By 2003, the global average reached 20, while country A surged to around 50, becoming the highest.","By 2003, the world average was 20, while country A reached approximately",0.95457983,0.6866362,0.6649224,0.7687128,0.7777777777777778,0.6470588235294118,0.47368421052631576,0.6328402706111684,False
U006,S03-E02,S03,3.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"In 2008, the world average climbed to 40. country A continued to lead with about 80 users.",grammar-related error,Capitalization problem after the full stop and possible unit omission; the phrase “80 users” is likely intended to mean 80 thousand users.,"In 2008, the world average climbed to 40, while country A continued to lead with about 80 thousand users.",,selected_100,Short and clear; may be combined as a short passage for revision.,"In 2008, the world average rose to 40, while country A continued to lead with approximately 80 users.","In 2008, the global average rose to 40, while Country A remained the leader with approximately 80 users.","In 2008, the world average climbed to 40%, with Country",0.9399332,0.52601004,0.5214189,0.66245407,0.7,0.5,0.42105263157894735,0.5403508771929825,False
U007,S04-E01,S04,4.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all four groups saw a sharp and continuous rise in internet usage over the period.",data description error,The phrase “all four groups” is slightly imprecise because the world average is not a country group; “internet usage” is also less precise than “number of internet users”.,"Overall, the three countries and the world average all showed a continuous rise in the number of internet users over the period.",,selected_100,"Mild error; this essay is comparatively stronger, so this is a lower-priority candidate.","Overall, all four groups experienced a sharp and steady increase in internet usage during the period.","Overall, all four groups experienced a sharp and steady increase in internet usage during this period.","Overall, all four groups showed a sharp and continuous rise in internet usage over",0.972892,0.82297194,0.8076298,0.86783123,0.8823529411764706,0.5,0.5,0.6274509803921569,False
U008,S04-E02,S04,4.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"By 2013, Denmark’s internet users hit nearly 90 thousand, and Canada reached around 7 thousand.",data description error,Possible numerical error or missing zero in “7 thousand”; “hit” is informal for IELTS Task 1 data description.,"By 2013, Denmark’s number of internet users reached nearly 90 thousand, and Canada reached around 70 thousand.",,selected_100,Strongest candidate from Image 4 because it may contain a data accuracy issue.,"By 2013, Denmark had nearly 90,000 internet users, while Canada had around 7,000.","By 2013, the number of internet users in Denmark had reached nearly 90 thousand, while in Canada the figure was around 7 thousand.","By 2013, Denmark had nearly 90,000",0.7395406,0.5258868,0.42808032,0.56450254,0.5714285714285714,0.5384615384615384,0.2857142857142857,0.46520146520146516,False
U009,S05-E01,S05,5.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"The chart shows illustrates the number of Internet users per thousand people in three countries: Greece, Denmark, Canada alongside the world average from 1998 to 2013.",grammar-related error,"Verb duplication in “shows illustrates”, punctuation/listing problem, and non-standard phrasing in introducing the chart.","The chart illustrates the number of Internet users per thousand people in Greece, Denmark and Canada, alongside the world average, from 1998 to 2013.",,selected_100,Clear introductory sentence-level error; useful for testing whether LLMs minimally correct or fully rewrite the sentence.,"The chart illustrates the number of Internet users per thousand people in three countries—Greece, Denmark, and Canada—alongside the world average from 1998 to 2013.","The chart illustrates the number of Internet users per thousand people in three countries—Greece, Denmark, and Canada—alongside the world average from 1998 to 2013.","The chart shows the number of Internet users per thousand people in three countries—Greece, Denmark, and",0.99999964,0.71291643,0.7129161,0.80861074,1.0,0.6,0.6,0.7333333333333334,False
U010,S05-E02,S05,5.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Canada and Denmark consistently ranked above the above the world average, while Greece started blew but caught up significantly.",idiomaticity or non-standard expression problem,"Repetition in “above the above”, non-standard phrase “started blew”, and unclear trend expression.","Canada and Denmark consistently remained above the world average, while Greece started below it but caught up significantly.",,selected_100,Strong learner-language trace; suitable for qualitative analysis of reformulation or erasure.,"Canada and Denmark consistently ranked above the world average, while Greece started off low but caught up significantly.","Canada and Denmark consistently ranked above the world average, while Greece started low but caught up significantly.","Canada and Denmark consistently ranked above the world average, while Greece started low but",0.9802706,0.82708484,0.8447595,0.88403827,0.9444444444444444,0.7777777777777778,0.8235294117647058,0.8485838779956426,False
