unit_id,original_error_id,source_id,source_image,source_set,topic_type,original_text,error_type,problem_description,recoverable_meaning,possible_future_use,selection_status,notes
U001,S01-E01,S01,1.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,The number of Internet users in Greece increases steadily during 1998 to 2013.,grammar-related error,Tense and time-preposition problems in Task 1 trend description; 'increases' should match the past period and 'during ... to ...' is non-standard.,The number of Internet users in Greece increased steadily from 1998 to 2013.,,selected_100,Clear sentence-level error unit; suitable for LLM revision comparison.
U002,S01-E02,S01,1.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Still the three different countries all surge throughout and on the peak in the 2013, the figure of Greece's Internet users is on the lowest trend on about 60 thousands during these three countries.",data description error,"Multiple problems in data description, comparison, article use, number expression, and non-standard phrases such as 'on the peak', 'on the lowest trend', and '60 thousands'.","All three countries increased over the period, while Greece had the lowest figure, at about 60 thousand in 2013.",,selected_100,Rich error unit; may be used as a short passage because the intended meaning is still partly recoverable.
U003,S02-E01,S02,2.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,Here's the main features and the differences of the chat.,grammar-related error,Subject-verb agreement problem in 'Here's the main features' and spelling error 'chat' for 'chart'; the overview phrase is also vague for IELTS Task 1.,Here are the main features and differences shown in the chart.,,selected_100,Candidate from Image 2; useful as a concise overview-sentence error unit.
U004,S02-E02,S02,2.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"In 1998, users in Denmark and Canada were more than the users in Greece, which reached to about 25 in thousands.",comparison-related error,"Comparison structure, relative-clause reference, verb pattern 'reached to', and number expression 'in thousands' are problematic.","In 1998, Denmark and Canada had more internet users than Greece, with the figure reaching about 25 thousand.",,selected_100,Strong candidate because it involves Task 1 comparison and data description.
U005,S03-E01,S03,3.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"By 2003, the world average reached 20, country A surged to approximately 50, becoming the highest.",data description error,Comma splice and ambiguous data description; “becoming the highest” should refer to the figure for country A rather than the country itself.,"By 2003, the world average reached 20, while country A surged to approximately 50, becoming the highest figure.",,selected_100,Good candidate for data description and sentence-structure revision.
U006,S03-E02,S03,3.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"In 2008, the world average climbed to 40. country A continued to lead with about 80 users.",grammar-related error,Capitalization problem after the full stop and possible unit omission; the phrase “80 users” is likely intended to mean 80 thousand users.,"In 2008, the world average climbed to 40, while country A continued to lead with about 80 thousand users.",,selected_100,Short and clear; may be combined as a short passage for revision.
U007,S04-E01,S04,4.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all four groups saw a sharp and continuous rise in internet usage over the period.",data description error,The phrase “all four groups” is slightly imprecise because the world average is not a country group; “internet usage” is also less precise than “number of internet users”.,"Overall, the three countries and the world average all showed a continuous rise in the number of internet users over the period.",,selected_100,"Mild error; this essay is comparatively stronger, so this is a lower-priority candidate."
U008,S04-E02,S04,4.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"By 2013, Denmark’s internet users hit nearly 90 thousand, and Canada reached around 7 thousand.",data description error,Possible numerical error or missing zero in “7 thousand”; “hit” is informal for IELTS Task 1 data description.,"By 2013, Denmark’s number of internet users reached nearly 90 thousand, and Canada reached around 70 thousand.",,selected_100,Strongest candidate from Image 4 because it may contain a data accuracy issue.
U009,S05-E01,S05,5.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"The chart shows illustrates the number of Internet users per thousand people in three countries: Greece, Denmark, Canada alongside the world average from 1998 to 2013.",grammar-related error,"Verb duplication in “shows illustrates”, punctuation/listing problem, and non-standard phrasing in introducing the chart.","The chart illustrates the number of Internet users per thousand people in Greece, Denmark and Canada, alongside the world average, from 1998 to 2013.",,selected_100,Clear introductory sentence-level error; useful for testing whether LLMs minimally correct or fully rewrite the sentence.
U010,S05-E02,S05,5.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Canada and Denmark consistently ranked above the above the world average, while Greece started blew but caught up significantly.",idiomaticity or non-standard expression problem,"Repetition in “above the above”, non-standard phrase “started blew”, and unclear trend expression.","Canada and Denmark consistently remained above the world average, while Greece started below it but caught up significantly.",,selected_100,Strong learner-language trace; suitable for qualitative analysis of reformulation or erasure.
U011,S06-E01,S06,6.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all four groups saw a continuous and dramatic rise in internet penetration, with Canada consistently recording the highest user numbers throughout the period, while the world average remained the lowest at all time points.",data description error,“All four groups” and “internet penetration” are somewhat imprecise for a chart about number of Internet users; the sentence may overgeneralize the data.,"Overall, the three countries and the global average showed a continuous rise in the number of Internet users, with Canada generally recording the highest figures and the world average the lowest.",,selected_100,This essay appears stronger; selected as a mild data-description candidate rather than a severe grammar error.
U012,S06-E02,S06,6.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"By 2003, Canada’s user count had surged to 70 thousand, closely followed by Denmark at 78 thousand, closely followed by Denmark at 78 thousand.",cohesion problem,"The phrase is repeated, and “closely followed by Denmark at 78 thousand” is logically inconsistent if Denmark’s figure is higher than Canada’s.","By 2003, Canada’s user count had surged to 70 thousand, while Denmark reached about 78 thousand.",,selected_100,Clear repetition and comparison issue; suitable for revision comparison.
U013,S07-E01,S07,7.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all categories saw a substantial increase over the period, with Canada witnessing the most dramatic growth lower user numbers compared to the global average, their figures also trended upward steadily.",grammar-related error,"The sentence is grammatically fragmented and contains an unclear relationship between Canada, lower user numbers, and the global average.","Overall, all categories increased substantially over the period. Canada saw the most dramatic growth, while the countries with lower figures also trended upward steadily.",,selected_100,Strong candidate because the intended meaning is partly recoverable but the structure is highly non-standard.
U014,S07-E02,S07,7.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"By 2013, this figure had soared to over 90000, making it the country with the highest internet users.",collocation problem,“The highest internet users” is an unnatural collocation; the sentence should refer to the highest number of Internet users.,"By 2013, this figure had risen to over 90,000, making Canada the country with the highest number of Internet users.",,selected_100,Clear collocation error; suitable sentence-level unit.
U015,S08-E01,S08,8.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,Denmark and Canada maintained higher user user numbers than Greece and the global average grow the fastest to catch up with developed nations by 2013.,grammar-related error,"Contains repeated wording ('user user numbers'), subject-verb agreement problem ('average grow'), and an unclear comparison between countries and the global average.","Denmark and Canada had higher numbers of Internet users than Greece, while the global average grew rapidly by 2013.",,selected_100,"Good candidate because it combines grammar, comparison, and Task 1 overview problems."
U016,S08-E02,S08,8.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"By 2013, the global average had surged to nearly 80,000 surpassing Denmark and nearly matching Canada.",data description error,The sentence may misrepresent the relationship among the categories and lacks punctuation before the participial phrase; 'surpassing Denmark' needs clearer data support.,"By 2013, the global average had risen to nearly 80,000, approaching the levels of Denmark and Canada.",,selected_100,Useful for testing whether LLMs preserve or correct potentially inaccurate data relationships.
U017,S09-E01,S09,9.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,This bar chart illustrates the number of Internet users in three different countries and the international average from 1988 to 2013.,data description error,"The time period is incorrect ('1988' instead of 1998), and 'international average' is less precise than 'world average'.",The bar chart illustrates the number of Internet users in three countries and the world average from 1998 to 2013.,,selected_100,Clear Task 1 introduction error with recoverable meaning.
U018,S09-E02,S09,9.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"In 1988, the number of internet users in Greece was far below 10,000, while in Denmark, it was slightly above 20,000.",data description error,The year is incorrectly stated as 1988; the comparison is otherwise recoverable.,"In 1998, the number of Internet users in Greece was below 10,000, while in Denmark it was slightly above 20,000.",,selected_100,Suitable short error unit focused on data/time accuracy.
U019,S10-E01,S10,10.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"The bar chat shows the number of internet users in Greece, Denmark, Canada, and the world average from 1998 to 2013.",lexical choice error,"'chat' is a lexical/spelling error for 'chart', and the phrase 'in ... the world average' is structurally awkward.","The bar chart shows the number of Internet users in Greece, Denmark, and Canada, along with the world average from 1998 to 2013.",,selected_100,Clear introduction-level error unit with recoverable meaning.
U020,S10-E02,S10,10.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all groups had a big increase in internet users during these 15 years.",idiomaticity or non-standard expression problem,"'big increase' is informal for IELTS Task 1, and 'all groups' is imprecise because the world average is not a country group.","Overall, all categories experienced a significant increase in the number of Internet users over the 15-year period.",,selected_100,Good overview sentence for revising informal and imprecise wording.
U021,S11-E01,S11,11.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all four groups saw a continuous rise in internet user numbers, with Denmark consistently leading the count, while Greece remained the lowest among the three countries throughout the period.",collocation problem,"'Leading the count' is an unnatural collocation in IELTS Task 1 data description, and the sentence could express leadership in user numbers more clearly.","Overall, all four categories increased, with Denmark consistently recording the highest number among the three countries and Greece the lowest.",,selected_100,Useful overview sentence with Task 1 collocation and precision issues.
U022,S11-E02,S11,11.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"In 1998, Denmark had around 25 thousand internet users, slightly higher than Canada's roughly 28 thousand, while Greece had only 5 thousand, far below the world average of around 8 thousand.",comparison-related error,The comparison is logically inconsistent because 25 thousand is not higher than 28 thousand; the sentence also contains several data comparison relationships.,"In 1998, Canada had roughly 28 thousand Internet users, slightly more than Denmark at around 25 thousand, while Greece had only about 5 thousand.",,selected_100,Strong candidate for comparison-related error and data relationship correction.
U023,S12-E01,S12,12.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,The line graph of Canada has the top based number between Greece and Denmark.,idiomaticity or non-standard expression problem,"'The line graph of Canada' and 'top based number' are non-standard expressions, and the comparison relation is unclear.",Canada had the highest number among the three countries.,,selected_100,Strong learner-language trace; suitable for testing LLM reformulation.
U024,S12-E02,S12,12.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"From 1998 to 2003, the line graph of Canada climbs significantly, and then level off.",grammar-related error,The sentence has subject choice problems and subject-verb agreement errors; the tense is also inconsistent for describing past data.,"From 1998 to 2003, Canada increased significantly and then levelled off.",,selected_100,Good sentence-level unit with tense and agreement problems.
U025,S13-E01,S13,13.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Just like the bar chart shows that for these three countries, the amount of people who used the Internet was increasing from 1998 to 2013.",grammar-related error,"The sentence begins with an awkward clause and uses the non-standard phrase ""the amount of people"" for countable nouns.",The bar chart shows that the number of Internet users in the three countries increased from 1998 to 2013.,,selected_100,Clear learner-style introduction sentence.
U026,S13-E02,S13,13.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"In Greece, there were only no more than 10 thousand of people surfing on the Internet in 1998.",idiomaticity or non-standard expression problem,"The phrase ""only no more than"" is redundant, and ""10 thousand of people"" is grammatically unnatural.","In Greece, fewer than 10 thousand people used the Internet in 1998.",,selected_100,Good candidate for quantifier and idiomaticity revision.
U027,S14-E01,S14,14.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"The bar chart illustrates the number of internet users in Greece, Denmark, Canada, as well as global average, from 1998 to 2013.",grammar-related error,"The phrase ""as well as global average"" is missing an article and is not fully parallel with the preceding country names.","The bar chart illustrates the number of Internet users in Greece, Denmark, Canada, and the global average from 1998 to 2013.",,selected_100,Minor but clear introduction-sentence error.
U028,S14-E02,S14,14.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"Overall, all four group saw a steady upward trend in internet users over the period.",grammar-related error,"The noun ""group"" should be plural, and the phrase ""in internet users"" is slightly imprecise.","Overall, all four groups saw a steady upward trend in the number of Internet users over the period.",,selected_100,Short and clean error unit.
U029,S15-E01,S15,15.jpg,main_40_candidate_bank,IELTS Task 1 chart/line-graph description: Internet users,"The bar chart illustrate the number of internet users in Greece, Denmark and Canada, as well as global average, from 1998 to 2013.",grammar-related error,"The verb should agree with the singular subject, and ""global average"" needs an article or clearer phrasing.","The bar chart illustrates the number of Internet users in Greece, Denmark and Canada, as well as the global average, from 1998 to 2013.",,selected_100,Similar to S14 but with a clear subject-verb agreement issue.
